natureza,referência,preçoVenda,preçoAluguel,distrito,concelho,freguesia,tipologia,area,ano,imagens,banco,contacto,email,telefone
Garagem,19369,15000,,,Porto,Lordelo do Ouro e Massarelos,Garagem,15,1998,"['https://cdn.proppy.app/propertyfiles/18/198675/b97ec66a-b3d5-4c8e-ad36-579944ed721a.jpg', 'https://cdn.proppy.app/propertyfiles/18/198675/37590a87-778f-4c3a-9828-5486d522e89e.png', 'https://cdn.proppy.app/propertyfiles/18/198675/f1810480-38d7-475c-b41c-e41db64b966f.jpg', 'https://cdn.proppy.app/propertyfiles/18/198675/2ee71301-fb14-48cf-82e6-810ff58162f3.jpg', 'https://cdn.proppy.app/propertyfiles/18/198675/73992665-8810-455e-8786-2d6ac446b12f.jpg', 'https://cdn.proppy.app/propertyfiles/18/198675/b97ec66a-b3d5-4c8e-ad36-579944ed721a.jpg', 'https://cdn.proppy.app/propertyfiles/18/198675/37590a87-778f-4c3a-9828-5486d522e89e.png']",Santander,João Baranda,joao.baranda@santander.pt,937661262

Garagem,19370,15000,,,Porto,Lordelo do Ouro e Massarelos,Garagem,15,1998,"['https://cdn.proppy.app/propertyfiles/18/198674/eb3e68db-f003-4d89-ba33-0a5dc7438d21.jpg', 'https://cdn.proppy.app/propertyfiles/18/198674/062e7c1d-922a-47ed-a354-5385cc26f0d9.png', 'https://cdn.proppy.app/propertyfiles/18/198674/c7af55ae-a2e9-4f51-b6fa-088efe5f9bb7.jpg', 'https://cdn.proppy.app/propertyfiles/18/198674/032787b2-9cd8-4ad7-9213-c1161482f1ac.jpg', 'https://cdn.proppy.app/propertyfiles/18/198674/2a9138b6-796b-4643-9b77-be6dc1d9d7c7.jpg', 'https://cdn.proppy.app/propertyfiles/18/198674/291f6be3-8b91-4cec-82db-1f4f3caa90b8.jpg', 'https://cdn.proppy.app/propertyfiles/18/198674/eb3e68db-f003-4d89-ba33-0a5dc7438d21.jpg', 'https://cdn.proppy.app/propertyfiles/18/198674/062e7c1d-922a-47ed-a354-5385cc26f0d9.png']",Santander,João Baranda,joao.baranda@santander.pt,937661262

Garagem,19371,19500,,,Porto,Lordelo do Ouro e Massarelos,Garagem,22,1998,"['https://cdn.proppy.app/propertyfiles/18/198673/6d0d4fee-5af7-4c4a-82f9-4ba3fbba4638.jpg', 'https://cdn.proppy.app/propertyfiles/18/198673/05cb1998-301c-40dc-ae05-41f78dc589f2.png', 'https://cdn.proppy.app/propertyfiles/18/198673/2b37c0fe-579c-4c73-a0a9-3bc88c7af0be.jpg', 'https://cdn.proppy.app/propertyfiles/18/198673/b2751317-e356-447b-abfd-47da3c88330e.jpg', 'https://cdn.proppy.app/propertyfiles/18/198673/d2c620c0-0bf1-49f0-a450-4aaa48e97034.jpg', 'https://cdn.proppy.app/propertyfiles/18/198673/6d0d4fee-5af7-4c4a-82f9-4ba3fbba4638.jpg', 'https://cdn.proppy.app/propertyfiles/18/198673/05cb1998-301c-40dc-ae05-41f78dc589f2.png']",Santander,João Baranda,joao.baranda@santander.pt,937661262

Loja / comércio,27115,124000,,,Vila Franca de Xira,Vila Franca de Xira,/ comércio,190,1983,"['https://cdn.proppy.app/propertyfiles/18/198671/5ba28ac4-3a88-4e3a-9b68-a24988e4ab82.jpg', 'https://cdn.proppy.app/propertyfiles/18/198671/e88c0dd2-a1c0-4a83-a289-eb8ce26a734f.jpg', 'https://cdn.proppy.app/propertyfiles/18/198671/a135a603-ad57-4ab0-8919-0c921f3a9259.jpg', 'https://cdn.proppy.app/propertyfiles/18/198671/764a36b1-9c36-4b2b-a8af-97a099bb9e18.jpg', 'https://cdn.proppy.app/propertyfiles/18/198671/4b9f821e-cb53-4882-b0a8-6482c42d26b1.jpg', 'https://cdn.proppy.app/propertyfiles/18/198671/52d96df4-fa2d-481f-a830-a2e221f7b5de.jpg', 'https://cdn.proppy.app/propertyfiles/18/198671/2df975f7-d268-4670-a804-92b70ac70fa9.jpg', 'https://cdn.proppy.app/propertyfiles/18/198671/5ba28ac4-3a88-4e3a-9b68-a24988e4ab82.jpg', 'https://cdn.proppy.app/propertyfiles/18/198671/e88c0dd2-a1c0-4a83-a289-eb8ce26a734f.jpg']",Santander,Dilia Santos,dilia.santos@servexternos.santander.pt,938885885

Armazém,27118,3950000,,,Sintra,Queluz e Belas,,6500,1995,"['https://cdn.proppy.app/propertyfiles/18/198668/6d012d14-931c-4a37-8695-4f8d57f739b0.jpg', 'https://cdn.proppy.app/propertyfiles/18/198668/c0fcd5a3-e79e-4aa5-9be4-863035557fcb.jpg', 'https://cdn.proppy.app/propertyfiles/18/198668/772619fd-7983-490f-a1c7-3e8df3fe650f.jpg', 'https://cdn.proppy.app/propertyfiles/18/198668/c92c6f9d-5196-429c-b74f-3df7d2b63e39.jpg', 'https://cdn.proppy.app/propertyfiles/18/198668/c0b77fcf-5be6-47a0-a139-707020a6dd94.jpg', 'https://cdn.proppy.app/propertyfiles/18/198668/0d982a68-5199-414a-ae8b-82bf4ab7ce4c.jpg', 'https://cdn.proppy.app/propertyfiles/18/198668/cbce0314-71b2-43da-8730-13808b77830d.jpg', 'https://cdn.proppy.app/propertyfiles/18/198668/f8317079-6b30-431f-bcf9-9b105498af65.jpg', 'https://cdn.proppy.app/propertyfiles/18/198668/58506764-c4ee-4d93-b709-3724cefdf7e2.jpg', 'https://cdn.proppy.app/propertyfiles/18/198668/369f5209-9958-4379-a4cb-35ca1f3d11ac.jpg', 'https://cdn.proppy.app/propertyfiles/18/198668/5a0b2e10-0b3b-4afc-a5cc-8bc661e785bf.jpg', 'https://cdn.proppy.app/propertyfiles/18/198668/c51737c3-e88e-4771-9556-eca722a9781e.jpg', 'https://cdn.proppy.app/propertyfiles/18/198668/6d012d14-931c-4a37-8695-4f8d57f739b0.jpg', 'https://cdn.proppy.app/propertyfiles/18/198668/c0fcd5a3-e79e-4aa5-9be4-863035557fcb.jpg']",Santander,Dilia Santos,dilia.santos@servexternos.santander.pt,938885885

Moradia,27107,235000,,,Lourinhã,Moita dos Ferreiros,; Não aplicável,82,2011,"['https://cdn.proppy.app/propertyfiles/18/198666/73f0b8bd-1d45-4d83-b3ed-def84479c6a4.jpg', 'https://cdn.proppy.app/propertyfiles/18/198666/e30937e5-6f27-40c8-bb93-a948512bf7ad.jpg', 'https://cdn.proppy.app/propertyfiles/18/198666/6c174d91-a16d-4d1b-8255-8d33e28b1cae.jpg', 'https://cdn.proppy.app/propertyfiles/18/198666/3f4eb9f9-d78a-48df-bd7d-b15cb8d4ee85.jpg', 'https://cdn.proppy.app/propertyfiles/18/198666/e45d259f-1dac-4c41-8181-6fb31bc6a7ee.jpg', 'https://cdn.proppy.app/propertyfiles/18/198666/200ed029-0a72-4d16-9e60-e2a338a2fe93.jpg', 'https://cdn.proppy.app/propertyfiles/18/198666/11013963-5ce7-4d51-984b-0995ffbfdd7d.jpg', 'https://cdn.proppy.app/propertyfiles/18/198666/a80c4261-bd53-481b-9e6d-c1bcf971afd0.jpg', 'https://cdn.proppy.app/propertyfiles/18/198666/2d9e4042-7b12-4ab2-8511-5b9276e0fc9a.jpg', 'https://cdn.proppy.app/propertyfiles/18/198666/1178ddb2-6ad2-4a60-a551-66eddd9f04a6.jpg', 'https://cdn.proppy.app/propertyfiles/18/198666/d010957b-2268-4c20-a50e-91926fcdc535.jpg', 'https://cdn.proppy.app/propertyfiles/18/198666/23826220-4e68-4a9a-9a19-593fbc68d2b5.jpg', 'https://cdn.proppy.app/propertyfiles/18/198666/73f0b8bd-1d45-4d83-b3ed-def84479c6a4.jpg', 'https://cdn.proppy.app/propertyfiles/18/198666/e30937e5-6f27-40c8-bb93-a948512bf7ad.jpg']",Santander,Dilia Santos,dilia.santos@servexternos.santander.pt,938885885

Loja / comércio,26649,154000,,,Sintra,Algueirão-Mem Martins,/ comércio,138,1994,"['https://cdn.proppy.app/propertyfiles/18/198664/67e9f121-77c9-4cd0-9c56-0280b8598631.jpg', 'https://cdn.proppy.app/propertyfiles/18/198664/aaba43be-5fd6-4a0e-8ab8-0bf2bee42869.jpg', 'https://cdn.proppy.app/propertyfiles/18/198664/0289ba00-5ac8-4e2d-a7d5-cd8cd2989684.jpg', 'https://cdn.proppy.app/propertyfiles/18/198664/67e9f121-77c9-4cd0-9c56-0280b8598631.jpg', 'https://cdn.proppy.app/propertyfiles/18/198664/aaba43be-5fd6-4a0e-8ab8-0bf2bee42869.jpg']",Santander,Dilia Santos,dilia.santos@servexternos.santander.pt,938885885

Loja / comércio,26650,244000,,,Sintra,Algueirão-Mem Martins,/ comércio,194,1994,"['https://cdn.proppy.app/propertyfiles/18/198663/2e7d5191-d0ec-44db-8f14-023572f4340d.jpg', 'https://cdn.proppy.app/propertyfiles/18/198663/5d22e80b-16ba-483d-827c-fe12064a43a8.jpg', 'https://cdn.proppy.app/propertyfiles/18/198663/18be90f4-269b-4190-aca2-9d54b24454f0.jpg', 'https://cdn.proppy.app/propertyfiles/18/198663/7ee4b64d-d5d0-4089-a8c6-11582241c3f2.jpg', 'https://cdn.proppy.app/propertyfiles/18/198663/604e5b81-3834-438d-9b36-177df6a7c6a7.jpg', 'https://cdn.proppy.app/propertyfiles/18/198663/1978113f-1cd1-42f0-a0a8-338637942033.jpg', 'https://cdn.proppy.app/propertyfiles/18/198663/a0a8a501-78db-477c-bba2-498db83c9dff.jpg', 'https://cdn.proppy.app/propertyfiles/18/198663/0845eb41-33ce-48cd-9316-9279b94f564b.jpg', 'https://cdn.proppy.app/propertyfiles/18/198663/2e7d5191-d0ec-44db-8f14-023572f4340d.jpg', 'https://cdn.proppy.app/propertyfiles/18/198663/5d22e80b-16ba-483d-827c-fe12064a43a8.jpg']",Santander,Dilia Santos,dilia.santos@servexternos.santander.pt,938885885

Moradia,27035,139000,,,Vila Viçosa,Bencatel,; Não aplicável,190,2010,"['https://cdn.proppy.app/propertyfiles/18/198662/1c0ffde8-e4df-4148-acee-a0ea53b1f035.jpg', 'https://cdn.proppy.app/propertyfiles/18/198662/2e2c95e8-6dfa-4ecf-b176-eb4025982f9c.jpg', 'https://cdn.proppy.app/propertyfiles/18/198662/955c1a48-b20a-4c58-916c-b1cbb13d923c.jpg', 'https://cdn.proppy.app/propertyfiles/18/198662/b6cdba98-1dc4-4d12-a4f8-c106a3aa0fd7.jpg', 'https://cdn.proppy.app/propertyfiles/18/198662/b017f905-aaa1-4a90-8cb1-25dc24cdc684.jpg', 'https://cdn.proppy.app/propertyfiles/18/198662/bc957035-1927-427f-b8cb-c3511c43e047.jpg', 'https://cdn.proppy.app/propertyfiles/18/198662/02e533d8-5e44-4c57-8343-b8b25f6ba71e.jpg', 'https://cdn.proppy.app/propertyfiles/18/198662/9effc13e-36c2-456a-86bb-a4c9f4ffef67.jpg', 'https://cdn.proppy.app/propertyfiles/18/198662/f9aefb62-2a53-43c8-a7e4-20d8f0ea4448.jpg', 'https://cdn.proppy.app/propertyfiles/18/198662/24f99c6b-8003-4041-83b6-4164429c3305.jpg', 'https://cdn.proppy.app/propertyfiles/18/198662/3c057785-8f33-49f4-ad8b-001e777d6f76.jpg', 'https://cdn.proppy.app/propertyfiles/18/198662/cd953a4c-ceca-475a-9f93-237b8e7437bc.jpg', 'https://cdn.proppy.app/propertyfiles/18/198662/1c0ffde8-e4df-4148-acee-a0ea53b1f035.jpg', 'https://cdn.proppy.app/propertyfiles/18/198662/2e2c95e8-6dfa-4ecf-b176-eb4025982f9c.jpg']",Santander,Ana Ventosa,ana.ventosa@servexternos.santander.pt,938883045

Moradia,27081,165000,,,Bragança,"Sé, Santa Maria e Meixedo",; Não aplicável,154,2004,"['https://cdn.proppy.app/propertyfiles/18/198661/7e80ea9d-126a-45a1-8744-47f96af59970.jpg', 'https://cdn.proppy.app/propertyfiles/18/198661/3a7aba69-d9de-4110-bf61-71a463b6972e.jpg', 'https://cdn.proppy.app/propertyfiles/18/198661/1be450aa-b149-4c8a-9786-db0d8d0f8b6c.jpg', 'https://cdn.proppy.app/propertyfiles/18/198661/c7d8fa11-ccfd-4768-848c-71e9608bee84.jpg', 'https://cdn.proppy.app/propertyfiles/18/198661/9b9e0c1f-e631-4f83-9903-e682d6a56d1e.jpg', 'https://cdn.proppy.app/propertyfiles/18/198661/d37b2e4c-94a3-4abe-9c06-891bd2fb3463.jpg', 'https://cdn.proppy.app/propertyfiles/18/198661/e0f817d1-4beb-4cdb-a577-68bf8414fafa.jpg', 'https://cdn.proppy.app/propertyfiles/18/198661/5f47498c-6c4c-4b4f-9fb8-829dd7543b69.jpg', 'https://cdn.proppy.app/propertyfiles/18/198661/84140594-6a65-4299-b6eb-3c8ab2535c4b.jpg', 'https://cdn.proppy.app/propertyfiles/18/198661/7e80ea9d-126a-45a1-8744-47f96af59970.jpg', 'https://cdn.proppy.app/propertyfiles/18/198661/3a7aba69-d9de-4110-bf61-71a463b6972e.jpg']",Santander,João Baranda,joao.baranda@santander.pt,937661262

Moradia,26977,270000,,,Elvas,"Ajuda, Salvador e Santo Ildefonso",; Não aplicável,283,1996,"['https://cdn.proppy.app/propertyfiles/18/198650/79add450-0cd8-49ea-8bf8-d6c8f895a181.jpg', 'https://cdn.proppy.app/propertyfiles/18/198650/69bad72c-d63d-43ee-9e3e-b49589351a3d.jpg', 'https://cdn.proppy.app/propertyfiles/18/198650/a02a2123-b9e0-4b3b-9bfd-413efa1e81be.jpg', 'https://cdn.proppy.app/propertyfiles/18/198650/75dc9bd4-474a-4937-ac1f-b462748d0b12.jpg', 'https://cdn.proppy.app/propertyfiles/18/198650/4724881c-f1bc-4335-9310-b808438a1776.jpg', 'https://cdn.proppy.app/propertyfiles/18/198650/89a3a575-ea8c-4455-b442-acdba3b5d0e7.jpg', 'https://cdn.proppy.app/propertyfiles/18/198650/635ea23a-9d36-4171-a662-1c8ab7644025.jpg', 'https://cdn.proppy.app/propertyfiles/18/198650/977e0ad4-6812-46fd-a5cd-5ead901d0e54.jpg', 'https://cdn.proppy.app/propertyfiles/18/198650/4f99027c-8e6f-4001-be76-2d39a5fdb768.jpg', 'https://cdn.proppy.app/propertyfiles/18/198650/f19fa90d-be71-493c-97f8-37081ffdc727.jpg', 'https://cdn.proppy.app/propertyfiles/18/198650/f728d7db-9f5d-4cc5-9395-2f6f86e8b288.jpg', 'https://cdn.proppy.app/propertyfiles/18/198650/f0b4bd90-4d1b-4eee-87aa-e78e8698cc98.jpg', 'https://cdn.proppy.app/propertyfiles/18/198650/79add450-0cd8-49ea-8bf8-d6c8f895a181.jpg', 'https://cdn.proppy.app/propertyfiles/18/198650/69bad72c-d63d-43ee-9e3e-b49589351a3d.jpg']",Santander,Ricardo Nogueira,ricardo.nogueira@servexternos.santander.pt,938883069

Loja / comércio,26906,85000,,,Abrantes,,/ comércio,140,1982,"['https://cdn.proppy.app/propertyfiles/18/198645/661e7ad0-2af8-4e87-9732-5d96846dca17.jpg', 'https://cdn.proppy.app/propertyfiles/18/198645/754dc519-de26-49ce-b88a-51e77821bef9.jpg', 'https://cdn.proppy.app/propertyfiles/18/198645/09346268-a9ec-44fa-a19c-8ebd4d860612.jpeg', 'https://cdn.proppy.app/propertyfiles/18/198645/68ba8d6e-2677-4e58-a4f2-5e6515358d8d.jpg', 'https://cdn.proppy.app/propertyfiles/18/198645/4a3f8904-bd02-4b31-b573-eb077936b162.jpg', 'https://cdn.proppy.app/propertyfiles/18/198645/950f400a-5f13-42ef-8e6e-06172da77e1c.jpg', 'https://cdn.proppy.app/propertyfiles/18/198645/74ad7e65-fdd1-470e-b76c-7595275d4700.jpg', 'https://cdn.proppy.app/propertyfiles/18/198645/fb8f67f1-0047-4514-abfe-3c56e72be87c.jpg', 'https://cdn.proppy.app/propertyfiles/18/198645/661e7ad0-2af8-4e87-9732-5d96846dca17.jpg', 'https://cdn.proppy.app/propertyfiles/18/198645/754dc519-de26-49ce-b88a-51e77821bef9.jpg']",Santander,Ricardo Nogueira,ricardo.nogueira@servexternos.santander.pt,938883069

Outros,26907,50000,,,Abrantes,,Outros,140,1982,"['https://cdn.proppy.app/propertyfiles/18/198644/db720825-cfd1-4d83-9a10-07039017120f.jpg', 'https://cdn.proppy.app/propertyfiles/18/198644/f3233420-ee69-4181-93b6-b368f1912326.jpg', 'https://cdn.proppy.app/propertyfiles/18/198644/fbff6390-9fd2-4c07-9108-04c72dbadb1f.jpeg', 'https://cdn.proppy.app/propertyfiles/18/198644/7fac06e5-6f26-4443-b079-2aa364c0dab6.jpg', 'https://cdn.proppy.app/propertyfiles/18/198644/b91d0ebc-907b-4f75-8d87-cc284f4ee209.jpeg', 'https://cdn.proppy.app/propertyfiles/18/198644/db720825-cfd1-4d83-9a10-07039017120f.jpg', 'https://cdn.proppy.app/propertyfiles/18/198644/f3233420-ee69-4181-93b6-b368f1912326.jpg']",Santander,Ricardo Nogueira,ricardo.nogueira@servexternos.santander.pt,938883069

Terrenos rústicos e quintas,26902,31000,,,Soure,Soure,s rústicos e quintas,2954,0,"['https://cdn.proppy.app/propertyfiles/18/198640/33008e39-a4cd-4cce-8b5d-b9c67b0c5313.jpg', 'https://cdn.proppy.app/propertyfiles/18/198640/1a7627ad-f6ec-47ae-8f36-db32758cdf23.jpg', 'https://cdn.proppy.app/propertyfiles/18/198640/aaf9aa37-24a6-46b3-ba2c-dfabbb350e57.jpg', 'https://cdn.proppy.app/propertyfiles/18/198640/6bed4c6f-0daf-47c0-889d-3c2228ac4c40.jpg', 'https://cdn.proppy.app/propertyfiles/18/198640/24536114-a0cf-4182-9c8a-765ccc9bd7ef.jpg', 'https://cdn.proppy.app/propertyfiles/18/198640/33008e39-a4cd-4cce-8b5d-b9c67b0c5313.jpg', 'https://cdn.proppy.app/propertyfiles/18/198640/1a7627ad-f6ec-47ae-8f36-db32758cdf23.jpg']",Santander,Ricardo Nogueira,ricardo.nogueira@servexternos.santander.pt,938883069

Loja / comércio,26836,865000,,,Coimbra,,/ comércio,314,1950,"['https://cdn.proppy.app/propertyfiles/18/198629/400f2a07-6bb3-4d5b-865c-a044269b5ea6.jpg', 'https://cdn.proppy.app/propertyfiles/18/198629/621fc729-49a6-4d76-b728-30b9859639a1.jpg', 'https://cdn.proppy.app/propertyfiles/18/198629/86a1c05c-bf87-405e-a4b9-63cf9e8242cf.jpg', 'https://cdn.proppy.app/propertyfiles/18/198629/8336457c-8ac9-4de9-8781-6d5478625f96.jpg', 'https://cdn.proppy.app/propertyfiles/18/198629/1e590a8b-d822-437b-bfa6-cfb3471f411a.jpg', 'https://cdn.proppy.app/propertyfiles/18/198629/3ad14438-0bee-42f1-ae62-3a1274941d92.jpg', 'https://cdn.proppy.app/propertyfiles/18/198629/1e995bc9-6d73-4200-bd5e-f9f0066997a1.jpg', 'https://cdn.proppy.app/propertyfiles/18/198629/60dcb9e7-a122-40c0-97a4-467e8cb28ade.jpg', 'https://cdn.proppy.app/propertyfiles/18/198629/4d1b12a6-9f5a-4131-9df0-d60d1dfa5ee4.jpg', 'https://cdn.proppy.app/propertyfiles/18/198629/cf3472e3-0d46-4ea2-9427-45f5351b29e9.jpg', 'https://cdn.proppy.app/propertyfiles/18/198629/670c67b8-ee19-4d73-931b-b9ba69c586cc.jpg', 'https://cdn.proppy.app/propertyfiles/18/198629/334a9acf-b5fe-42f4-a1fa-b0cf54cca891.jpg', 'https://cdn.proppy.app/propertyfiles/18/198629/400f2a07-6bb3-4d5b-865c-a044269b5ea6.jpg', 'https://cdn.proppy.app/propertyfiles/18/198629/621fc729-49a6-4d76-b728-30b9859639a1.jpg']",Santander,Ricardo Nogueira,ricardo.nogueira@servexternos.santander.pt,938883069

Moradia,27026,192500,,,Porto,Campanhã,; Não aplicável,58,1988,['https://cdn.proppy.app/propertyfiles/18/198627/fcef613f-fe5c-4d93-95d0-eeb7479643fb.png'],Santander,João Baranda,joao.baranda@santander.pt,937661262

