natureza,referência,preçoVenda,preçoAluguel,distrito,concelho,freguesia,tipologia,area,ano,imagens,banco,contacto,email,telefone
,,,,,,,,,,"['https://millenniumimoveis.janeladigital.com/images/640x480/218f/e1718001-0000-0500-0000-000013ab218f.jpg', 'https://millenniumimoveis.janeladigital.com/images/640x480/2190/e1718001-0000-0500-0000-000013ab2190.jpg', 'https://millenniumimoveis.janeladigital.com/images/140x105/218f/e1718001-0000-0500-0000-000013ab218f.jpg', 'https://millenniumimoveis.janeladigital.com/images/140x105/2190/e1718001-0000-0500-0000-000013ab2190.jpg', 'https://millenniumimoveis.janeladigital.com/images/140x105/2191/e1718001-0000-0500-0000-000013ab2191.jpg', 'https://millenniumimoveis.janeladigital.com/images/140x105/2192/e1718001-0000-0500-0000-000013ab2192.jpg', 'https://millenniumimoveis.janeladigital.com/images/140x105/2193/e1718001-0000-0500-0000-000013ab2193.jpg']",Millenium,,,

,,,,,,,,,,"['https://millenniumimoveis.janeladigital.com/images/640x480/11b8/fc5a8101-0000-0500-0000-000013ac11b8.jpg', 'https://millenniumimoveis.janeladigital.com/images/140x105/11b7/fc5a8101-0000-0500-0000-000013ac11b7.jpg', 'https://millenniumimoveis.janeladigital.com/images/140x105/11b8/fc5a8101-0000-0500-0000-000013ac11b8.jpg', 'https://millenniumimoveis.janeladigital.com/images/140x105/11b9/fc5a8101-0000-0500-0000-000013ac11b9.jpg', 'https://millenniumimoveis.janeladigital.com/images/140x105/11d6/fc5a8101-0000-0500-0000-000013ba11d6.jpg', 'https://millenniumimoveis.janeladigital.com/images/140x105/11d7/fc5a8101-0000-0500-0000-000013ba11d7.jpg']",Millenium,,,

,,,,,,,,,,"['https://millenniumimoveis.janeladigital.com/images/640x480/c6c0/95058001-0000-0500-0000-000013a3c6c0.jpg', 'https://millenniumimoveis.janeladigital.com/images/640x480/c6c1/95058001-0000-0500-0000-000013a3c6c1.jpg', 'https://millenniumimoveis.janeladigital.com/images/140x105/c6c0/95058001-0000-0500-0000-000013a3c6c0.jpg', 'https://millenniumimoveis.janeladigital.com/images/140x105/c6c1/95058001-0000-0500-0000-000013a3c6c1.jpg', 'https://millenniumimoveis.janeladigital.com/images/140x105/c6c2/95058001-0000-0500-0000-000013a3c6c2.jpg', 'https://millenniumimoveis.janeladigital.com/images/140x105/c6c3/95058001-0000-0500-0000-000013a3c6c3.jpg', 'https://millenniumimoveis.janeladigital.com/images/140x105/c6c4/95058001-0000-0500-0000-000013a3c6c4.jpg']",Millenium,,,211 988 863

,,,,,,,,,,"['https://millenniumimoveis.janeladigital.com/images/640x480/d988/6af17f01-0000-0500-0000-000013a1d988.jpg', 'https://millenniumimoveis.janeladigital.com/images/640x480/bca1/6af17f01-0000-0500-0000-000013c1bca1.jpg', 'https://millenniumimoveis.janeladigital.com/images/140x105/d988/6af17f01-0000-0500-0000-000013a1d988.jpg', 'https://millenniumimoveis.janeladigital.com/images/140x105/bca1/6af17f01-0000-0500-0000-000013c1bca1.jpg', 'https://millenniumimoveis.janeladigital.com/images/140x105/bca2/6af17f01-0000-0500-0000-000013c1bca2.jpg', 'https://millenniumimoveis.janeladigital.com/images/140x105/d989/6af17f01-0000-0500-0000-000013a1d989.jpg', 'https://millenniumimoveis.janeladigital.com/images/140x105/d98b/6af17f01-0000-0500-0000-000013a1d98b.jpg']",Millenium,,,

,,,,,,,,,,"['https://millenniumimoveis.janeladigital.com/images/640x480/9e3b/e91b8001-0000-0500-0000-000013a09e3b.jpg', 'https://millenniumimoveis.janeladigital.com/images/640x480/9e3c/e91b8001-0000-0500-0000-000013a09e3c.jpg', 'https://millenniumimoveis.janeladigital.com/images/140x105/9e3b/e91b8001-0000-0500-0000-000013a09e3b.jpg', 'https://millenniumimoveis.janeladigital.com/images/140x105/9e3c/e91b8001-0000-0500-0000-000013a09e3c.jpg', 'https://millenniumimoveis.janeladigital.com/images/140x105/9e3d/e91b8001-0000-0500-0000-000013a09e3d.jpg', 'https://millenniumimoveis.janeladigital.com/images/140x105/9e3e/e91b8001-0000-0500-0000-000013a09e3e.jpg', 'https://millenniumimoveis.janeladigital.com/images/140x105/9e3f/e91b8001-0000-0500-0000-000013a09e3f.jpg']",Millenium,,,

,,,,,,,,,,"['https://millenniumimoveis.janeladigital.com/images/640x480/1c0d/75587f01-0000-0500-0000-0000139a1c0d.jpg', 'https://millenniumimoveis.janeladigital.com/images/640x480/1c0e/75587f01-0000-0500-0000-0000139a1c0e.jpg', 'https://millenniumimoveis.janeladigital.com/images/140x105/1c0d/75587f01-0000-0500-0000-0000139a1c0d.jpg', 'https://millenniumimoveis.janeladigital.com/images/140x105/1c0e/75587f01-0000-0500-0000-0000139a1c0e.jpg', 'https://millenniumimoveis.janeladigital.com/images/140x105/1c0f/75587f01-0000-0500-0000-0000139a1c0f.jpg', 'https://millenniumimoveis.janeladigital.com/images/140x105/1c10/75587f01-0000-0500-0000-0000139a1c10.jpg', 'https://millenniumimoveis.janeladigital.com/images/140x105/1c11/75587f01-0000-0500-0000-0000139a1c11.jpg']",Millenium,,,

,,,,,,,,,,"['https://millenniumimoveis.janeladigital.com/images/640x480/9081/15497f01-0000-0500-0000-000013999081.jpg', 'https://millenniumimoveis.janeladigital.com/images/640x480/9082/15497f01-0000-0500-0000-000013999082.jpg', 'https://millenniumimoveis.janeladigital.com/images/140x105/9081/15497f01-0000-0500-0000-000013999081.jpg', 'https://millenniumimoveis.janeladigital.com/images/140x105/9082/15497f01-0000-0500-0000-000013999082.jpg', 'https://millenniumimoveis.janeladigital.com/images/140x105/9083/15497f01-0000-0500-0000-000013999083.jpg', 'https://millenniumimoveis.janeladigital.com/images/140x105/9084/15497f01-0000-0500-0000-000013999084.jpg', 'https://millenniumimoveis.janeladigital.com/images/140x105/bcaa/15497f01-0000-0500-0000-000013c1bcaa.jpg']",Millenium,,,

,,,,,,,,,,"['https://millenniumimoveis.janeladigital.com/images/640x480/0f5f/a40f9100-0000-0500-0000-000013950f5f.jpg', 'https://millenniumimoveis.janeladigital.com/images/640x480/0f61/a40f9100-0000-0500-0000-000013950f61.jpg', 'https://millenniumimoveis.janeladigital.com/images/140x105/0f5f/a40f9100-0000-0500-0000-000013950f5f.jpg', 'https://millenniumimoveis.janeladigital.com/images/140x105/0f61/a40f9100-0000-0500-0000-000013950f61.jpg', 'https://millenniumimoveis.janeladigital.com/images/140x105/0f62/a40f9100-0000-0500-0000-000013950f62.jpg', 'https://millenniumimoveis.janeladigital.com/images/140x105/0f64/a40f9100-0000-0500-0000-000013950f64.jpg']",Millenium,,,

,,,,,,,,,1992,"['https://millenniumimoveis.janeladigital.com/images/640x480/9b7d/5d3c7a01-0000-0500-0000-000013919b7d.jpg', 'https://millenniumimoveis.janeladigital.com/images/640x480/9b7e/5d3c7a01-0000-0500-0000-000013919b7e.jpg', 'https://millenniumimoveis.janeladigital.com/images/140x105/9b7d/5d3c7a01-0000-0500-0000-000013919b7d.jpg', 'https://millenniumimoveis.janeladigital.com/images/140x105/9b7e/5d3c7a01-0000-0500-0000-000013919b7e.jpg', 'https://millenniumimoveis.janeladigital.com/images/140x105/9b7f/5d3c7a01-0000-0500-0000-000013919b7f.jpg', 'https://millenniumimoveis.janeladigital.com/images/140x105/9b80/5d3c7a01-0000-0500-0000-000013919b80.jpg', 'https://millenniumimoveis.janeladigital.com/images/140x105/9b81/5d3c7a01-0000-0500-0000-000013919b81.jpg']",Millenium,REMAX WHITE - WHITEONE MED IMOB LDA,nquiterio@remax.pt,

,,,,,,,,,,"['https://millenniumimoveis.janeladigital.com/images/640x480/2342/f1f77e01-0000-0500-0000-000013922342.jpg', 'https://millenniumimoveis.janeladigital.com/images/640x480/2343/f1f77e01-0000-0500-0000-000013922343.jpg', 'https://millenniumimoveis.janeladigital.com/images/140x105/2342/f1f77e01-0000-0500-0000-000013922342.jpg', 'https://millenniumimoveis.janeladigital.com/images/140x105/2343/f1f77e01-0000-0500-0000-000013922343.jpg', 'https://millenniumimoveis.janeladigital.com/images/140x105/2344/f1f77e01-0000-0500-0000-000013922344.jpg', 'https://millenniumimoveis.janeladigital.com/images/140x105/2345/f1f77e01-0000-0500-0000-000013922345.jpg', 'https://millenniumimoveis.janeladigital.com/images/140x105/2346/f1f77e01-0000-0500-0000-000013922346.jpg']",Millenium,YESTERDAY MAGIC CONSULTORIA MEDIAÇÃO IMOBILIÁRIA LDA,geral@ymg.pt,"217 260 169, 920368346 / 963537162"

,,,,,,,,,,"['https://millenniumimoveis.janeladigital.com/images/640x480/aea1/b3507f01-0000-0500-0000-00001388aea1.jpg', 'https://millenniumimoveis.janeladigital.com/images/140x105/aea1/b3507f01-0000-0500-0000-00001388aea1.jpg', 'https://millenniumimoveis.janeladigital.com/images/140x105/bca9/b3507f01-0000-0500-0000-000013c1bca9.jpg', 'https://millenniumimoveis.janeladigital.com/images/140x105/aea3/b3507f01-0000-0500-0000-00001388aea3.jpg', 'https://millenniumimoveis.janeladigital.com/images/140x105/aea4/b3507f01-0000-0500-0000-00001388aea4.jpg', 'https://millenniumimoveis.janeladigital.com/images/140x105/aea5/b3507f01-0000-0500-0000-00001388aea5.jpg']",Millenium,,,

,,,,,,,,,,"['https://millenniumimoveis.janeladigital.com/images/640x480/66f8/2ced7e01-0000-0500-0000-0000138566f8.jpg', 'https://millenniumimoveis.janeladigital.com/images/640x480/66f9/2ced7e01-0000-0500-0000-0000138566f9.jpg', 'https://millenniumimoveis.janeladigital.com/images/140x105/66f8/2ced7e01-0000-0500-0000-0000138566f8.jpg', 'https://millenniumimoveis.janeladigital.com/images/140x105/66f9/2ced7e01-0000-0500-0000-0000138566f9.jpg', 'https://millenniumimoveis.janeladigital.com/images/140x105/3051/2ced7e01-0000-0500-0000-000013b83051.jpg', 'https://millenniumimoveis.janeladigital.com/images/140x105/3052/2ced7e01-0000-0500-0000-000013b83052.jpg', 'https://millenniumimoveis.janeladigital.com/images/140x105/3053/2ced7e01-0000-0500-0000-000013b83053.jpg']",Millenium,,,211 988 863

,,,,,,,,,,"['https://millenniumimoveis.janeladigital.com/images/640x480/27e2/2ded7e01-0000-0500-0000-0000137d27e2.jpg', 'https://millenniumimoveis.janeladigital.com/images/640x480/27e3/2ded7e01-0000-0500-0000-0000137d27e3.jpg', 'https://millenniumimoveis.janeladigital.com/images/140x105/27e2/2ded7e01-0000-0500-0000-0000137d27e2.jpg', 'https://millenniumimoveis.janeladigital.com/images/140x105/27e3/2ded7e01-0000-0500-0000-0000137d27e3.jpg', 'https://millenniumimoveis.janeladigital.com/images/140x105/27e4/2ded7e01-0000-0500-0000-0000137d27e4.jpg', 'https://millenniumimoveis.janeladigital.com/images/140x105/27e5/2ded7e01-0000-0500-0000-0000137d27e5.jpg', 'https://millenniumimoveis.janeladigital.com/images/140x105/27e6/2ded7e01-0000-0500-0000-0000137d27e6.jpg']",Millenium,DCEI- AVI - Área de Gestão de Vendas de Imóveis,dgv@millenniumbcp.pt,211 988 863

,,,,,,,,286,2003,"['https://millenniumimoveis.janeladigital.com/images/640x480/ccf3/4b377e01-0000-0500-0000-00001367ccf3.jpg', 'https://millenniumimoveis.janeladigital.com/images/640x480/ccf4/4b377e01-0000-0500-0000-00001367ccf4.jpg', 'https://millenniumimoveis.janeladigital.com/images/140x105/ccf3/4b377e01-0000-0500-0000-00001367ccf3.jpg', 'https://millenniumimoveis.janeladigital.com/images/140x105/ccf4/4b377e01-0000-0500-0000-00001367ccf4.jpg', 'https://millenniumimoveis.janeladigital.com/images/140x105/ccf5/4b377e01-0000-0500-0000-00001367ccf5.jpg', 'https://millenniumimoveis.janeladigital.com/images/140x105/ccf6/4b377e01-0000-0500-0000-00001367ccf6.jpg', 'https://millenniumimoveis.janeladigital.com/images/140x105/ccf7/4b377e01-0000-0500-0000-00001367ccf7.jpg']",Millenium,DCEI- AVI - Área de Gestão de Vendas de Imóveis,dgv@millenniumbcp.pt,211 988 863

,,,,,,,,,,"['https://millenniumimoveis.janeladigital.com/images/640x480/3452/70603901-0000-0500-0000-000013643452.jpg', 'https://millenniumimoveis.janeladigital.com/images/140x105/3450/70603901-0000-0500-0000-000013643450.jpg', 'https://millenniumimoveis.janeladigital.com/images/140x105/3452/70603901-0000-0500-0000-000013643452.jpg', 'https://millenniumimoveis.janeladigital.com/images/140x105/3453/70603901-0000-0500-0000-000013643453.jpg', 'https://millenniumimoveis.janeladigital.com/images/140x105/3454/70603901-0000-0500-0000-000013643454.jpg', 'https://millenniumimoveis.janeladigital.com/images/140x105/3455/70603901-0000-0500-0000-000013643455.jpg']",Millenium,,,

,,,,,,,,,,"['https://millenniumimoveis.janeladigital.com/images/640x480/5dd8/41c07e01-0000-0500-0000-000013535dd8.jpg', 'https://millenniumimoveis.janeladigital.com/images/640x480/5dda/41c07e01-0000-0500-0000-000013535dda.jpg', 'https://millenniumimoveis.janeladigital.com/images/140x105/5dd8/41c07e01-0000-0500-0000-000013535dd8.jpg', 'https://millenniumimoveis.janeladigital.com/images/140x105/5dda/41c07e01-0000-0500-0000-000013535dda.jpg', 'https://millenniumimoveis.janeladigital.com/images/140x105/5ddc/41c07e01-0000-0500-0000-000013535ddc.jpg', 'https://millenniumimoveis.janeladigital.com/images/140x105/5ddd/41c07e01-0000-0500-0000-000013535ddd.jpg', 'https://millenniumimoveis.janeladigital.com/images/140x105/5dde/41c07e01-0000-0500-0000-000013535dde.jpg']",Millenium,,,

,,,,,,,,,,"['https://millenniumimoveis.janeladigital.com/images/640x480/f2f4/0f1e7d01-0000-0500-0000-00001327f2f4.jpg', 'https://millenniumimoveis.janeladigital.com/images/640x480/f2f5/0f1e7d01-0000-0500-0000-00001327f2f5.jpg', 'https://millenniumimoveis.janeladigital.com/images/140x105/f2f4/0f1e7d01-0000-0500-0000-00001327f2f4.jpg', 'https://millenniumimoveis.janeladigital.com/images/140x105/f2f5/0f1e7d01-0000-0500-0000-00001327f2f5.jpg', 'https://millenniumimoveis.janeladigital.com/images/140x105/f2f6/0f1e7d01-0000-0500-0000-00001327f2f6.jpg', 'https://millenniumimoveis.janeladigital.com/images/140x105/f2f7/0f1e7d01-0000-0500-0000-00001327f2f7.jpg', 'https://millenniumimoveis.janeladigital.com/images/140x105/f2f8/0f1e7d01-0000-0500-0000-00001327f2f8.jpg']",Millenium,,dgv@millenniumbcp.pt,211 988 863

,,,,,,,,,,"['https://millenniumimoveis.janeladigital.com/images/640x480/414a/ca027d01-0000-0500-0000-00001324414a.jpg', 'https://millenniumimoveis.janeladigital.com/images/640x480/414b/ca027d01-0000-0500-0000-00001324414b.jpg', 'https://millenniumimoveis.janeladigital.com/images/140x105/414a/ca027d01-0000-0500-0000-00001324414a.jpg', 'https://millenniumimoveis.janeladigital.com/images/140x105/414b/ca027d01-0000-0500-0000-00001324414b.jpg', 'https://millenniumimoveis.janeladigital.com/images/140x105/414c/ca027d01-0000-0500-0000-00001324414c.jpg', 'https://millenniumimoveis.janeladigital.com/images/140x105/414d/ca027d01-0000-0500-0000-00001324414d.jpg', 'https://millenniumimoveis.janeladigital.com/images/140x105/414e/ca027d01-0000-0500-0000-00001324414e.jpg']",Millenium,,,

,,,,,,,,,,"['https://millenniumimoveis.janeladigital.com/images/640x480/bf3b/bbb77c01-0000-0500-0000-0000131bbf3b.jpg', 'https://millenniumimoveis.janeladigital.com/images/640x480/bf3c/bbb77c01-0000-0500-0000-0000131bbf3c.jpg', 'https://millenniumimoveis.janeladigital.com/images/140x105/bf3b/bbb77c01-0000-0500-0000-0000131bbf3b.jpg', 'https://millenniumimoveis.janeladigital.com/images/140x105/bf3c/bbb77c01-0000-0500-0000-0000131bbf3c.jpg', 'https://millenniumimoveis.janeladigital.com/images/140x105/bf3d/bbb77c01-0000-0500-0000-0000131bbf3d.jpg', 'https://millenniumimoveis.janeladigital.com/images/140x105/bf3e/bbb77c01-0000-0500-0000-0000131bbf3e.jpg', 'https://millenniumimoveis.janeladigital.com/images/140x105/bf3f/bbb77c01-0000-0500-0000-0000131bbf3f.jpg']",Millenium,,,211 988 863

,,,,,,,,,,"['https://millenniumimoveis.janeladigital.com/images/640x480/ccbb/e0597a01-0000-0500-0000-000012dfccbb.jpg', 'https://millenniumimoveis.janeladigital.com/images/640x480/ccbc/e0597a01-0000-0500-0000-000012dfccbc.jpg', 'https://millenniumimoveis.janeladigital.com/images/140x105/ccbb/e0597a01-0000-0500-0000-000012dfccbb.jpg', 'https://millenniumimoveis.janeladigital.com/images/140x105/ccbc/e0597a01-0000-0500-0000-000012dfccbc.jpg', 'https://millenniumimoveis.janeladigital.com/images/140x105/ccbd/e0597a01-0000-0500-0000-000012dfccbd.jpg', 'https://millenniumimoveis.janeladigital.com/images/140x105/ccbe/e0597a01-0000-0500-0000-000012dfccbe.jpg', 'https://millenniumimoveis.janeladigital.com/images/140x105/ccbf/e0597a01-0000-0500-0000-000012dfccbf.jpg']",Millenium,,,

,,,,,,,,,2006,"['https://millenniumimoveis.janeladigital.com/images/640x480/7c74/53c77b01-0000-0500-0000-000013117c74.jpg', 'https://millenniumimoveis.janeladigital.com/images/640x480/7c75/53c77b01-0000-0500-0000-000013117c75.jpg', 'https://millenniumimoveis.janeladigital.com/images/140x105/7c74/53c77b01-0000-0500-0000-000013117c74.jpg', 'https://millenniumimoveis.janeladigital.com/images/140x105/7c75/53c77b01-0000-0500-0000-000013117c75.jpg', 'https://millenniumimoveis.janeladigital.com/images/140x105/7c76/53c77b01-0000-0500-0000-000013117c76.jpg', 'https://millenniumimoveis.janeladigital.com/images/140x105/7c77/53c77b01-0000-0500-0000-000013117c77.jpg', 'https://millenniumimoveis.janeladigital.com/images/140x105/7c79/53c77b01-0000-0500-0000-000013117c79.jpg']",Millenium,"Liderclass Soc. med. Imobiliária, Lda",tua@liderclass.pt,278265475

