natureza,referência,preçoVenda,preçoAluguel,distrito,concelho,freguesia,tipologia,area,ano,imagens,banco,contacto,email,telefone,descricao
Parqueamento,6639,17900,,Lisboa,Lisboa,,,,2010,"['https://jackhammer.janeladigital.com/Z800x600/S5/C3119/P24494840/Tphoto/IDf8c27501-0000-0500-0000-000012534208.jpg', 'https://jackhammer.janeladigital.com/Z800x600/S5/C3119/P24494840/Tphoto/IDf8c27501-0000-0500-0000-000012534209.jpg', 'https://jackhammer.janeladigital.com/Z360x270/S5/C3119/P24494840/Tphoto/IDf8c27501-0000-0500-0000-000012534208.jpg', 'https://jackhammer.janeladigital.com/Z360x270/S5/C3119/P24494840/Tphoto/IDf8c27501-0000-0500-0000-000012534209.jpg', 'https://jackhammer.janeladigital.com/Z360x270/S5/C3119/P24494840/Tphoto/IDf8c27501-0000-0500-0000-00001253420a.jpg', 'https://jackhammer.janeladigital.com/Z360x270/S5/C3119/P24494840/Tphoto/IDf8c27501-0000-0500-0000-00001253420b.jpg', 'https://jackhammer.janeladigital.com/Z360x270/S5/C3119/P24494840/Tphoto/IDf8c27501-0000-0500-0000-00001253420c.jpg', 'https://jackhammer.janeladigital.com/Z360x270/S5/C3119/P24494840/Tphoto/IDf8c27501-0000-0500-0000-00001253420d.jpg', 'https://jackhammer.janeladigital.com/Z360x270/S5/C3119/P24494840/Tphoto/IDf8c27501-0000-0500-0000-00001253420e.jpg', 'https://jackhammer.janeladigital.com/Z360x270/S5/C3119/P24494840/Tphoto/IDf8c27501-0000-0500-0000-00001253420f.jpg']",Credito_agricola,Drª Filipa da Raquel,,808202060,"Lugar de parqueamento com 12,5m² , situado em zona central da cidade de Lisboa.

Encontra-se inserido no Empreendimento Jardins de São Lourenço, numa zona consolidada, caracterizada por uma ocupação maioritariamente destinada a serviços, comércio e habitação.

Este parqueamento, identificado com número 3160, está situado no Piso -3 do empreendimento e possui vigilância 24h.

Destaca-se a proximidade ao Hospital de Santa Maria, Embaixadas dos Estados Unidos e Brasil, Jardim Zoológico, Hotéis, confinando com o edifício da Bolsa de Valores. Encontra-se também relativamente perto da Universidade Católica e do Jardim do Campo Grande.

A sua localização oferece bons acessos, transportes públicos e ligação rápida com a Praça de Espanha, Radial de Benfica, Eixo Norte-Sul, 2ª Circular.

Marque já a sua visita e não perca esta oportunidade!"

Parqueamento,6638,17900,,Lisboa,Lisboa,,,,2010,"['https://jackhammer.janeladigital.com/Z800x600/S5/C3119/P24494841/Tphoto/IDf9c27501-0000-0500-0000-000012534210.jpg', 'https://jackhammer.janeladigital.com/Z800x600/S5/C3119/P24494841/Tphoto/IDf9c27501-0000-0500-0000-000012534211.jpg', 'https://jackhammer.janeladigital.com/Z360x270/S5/C3119/P24494841/Tphoto/IDf9c27501-0000-0500-0000-000012534210.jpg', 'https://jackhammer.janeladigital.com/Z360x270/S5/C3119/P24494841/Tphoto/IDf9c27501-0000-0500-0000-000012534211.jpg', 'https://jackhammer.janeladigital.com/Z360x270/S5/C3119/P24494841/Tphoto/IDf9c27501-0000-0500-0000-000012534212.jpg', 'https://jackhammer.janeladigital.com/Z360x270/S5/C3119/P24494841/Tphoto/IDf9c27501-0000-0500-0000-000012534213.jpg', 'https://jackhammer.janeladigital.com/Z360x270/S5/C3119/P24494841/Tphoto/IDf9c27501-0000-0500-0000-000012534214.jpg', 'https://jackhammer.janeladigital.com/Z360x270/S5/C3119/P24494841/Tphoto/IDf9c27501-0000-0500-0000-000012534215.jpg', 'https://jackhammer.janeladigital.com/Z360x270/S5/C3119/P24494841/Tphoto/IDf9c27501-0000-0500-0000-000012534216.jpg', 'https://jackhammer.janeladigital.com/Z360x270/S5/C3119/P24494841/Tphoto/IDf9c27501-0000-0500-0000-000012534218.jpg']",Credito_agricola,Drª Filipa da Raquel,,808202060,"Lugar de parqueamento com 12,5m², situado em zona central da cidade de Lisboa.

Encontra-se inserido no Empreendimento Jardins de São Lourenço, numa zona consolidada, caracterizada por uma ocupação maioritariamente destinada a serviços, comércio e habitação.

Este parqueamento, identificado com número 3161, está situado no Piso -3 do empreendimento e possui vigilância 24h.

Destaca-se a proximidade ao Hospital de Santa Maria, Embaixadas dos Estados Unidos e Brasil, Jardim Zoológico, Hotéis, confinando com o edifício da Bolsa de Valores. Encontra-se também relativamente perto da Universidade Católica e do Jardim do Campo Grande.

A sua localização oferece bons acessos, transportes públicos e ligação rápida com a Praça de Espanha, Radial de Benfica, Eixo Norte-Sul, 2ª Circular.

Marque já a sua visita e não perca esta oportunidade!"

Armazém,5553,1100000,,Aveiro,Espinho,,,5233,1975,['https://jackhammer.janeladigital.com/Z800x600/S5/C3119/P24687721/Tphoto/ID69b47801-0000-0500-0000-000013bfa05d.jpg'],Credito_agricola,Fernando Pinho / Antonio Real,,223773211,Conjunto de armazéns

Armazém,14014,603000,,Lisboa,Vila Franca de Xira,,,1011,1984,"['https://jackhammer.janeladigital.com/Z800x600/S5/C3119/P25296817/Tphoto/IDb1ff8101-0000-0500-0000-000013bcc7e0.jpg', 'https://jackhammer.janeladigital.com/Z800x600/S5/C3119/P25296817/Tphoto/IDb1ff8101-0000-0500-0000-000013bcc7e1.jpg', 'https://jackhammer.janeladigital.com/Z360x270/S5/C3119/P25296817/Tphoto/IDb1ff8101-0000-0500-0000-000013bcc7e0.jpg', 'https://jackhammer.janeladigital.com/Z360x270/S5/C3119/P25296817/Tphoto/IDb1ff8101-0000-0500-0000-000013bcc7e1.jpg']",Credito_agricola,Ruben Carvalho,,263975196,"Vende-se armazém amplo com 1000 m2 incluindo 3 camâras de frio, 2 cais, instalações sanitárias a 5 min do acesso á A1.

O Armazém está inserido num lote de terreno de 7160 m2 encostado á A1 contendo um placar publicitário arrendado."

Garagem,9787,2720,,Lisboa,Vila Franca de Xira,,,30,1994,['https://jackhammer.janeladigital.com/Z800x600/S5/C3119/P25296818/Tphoto/IDb2ff8101-0000-0500-0000-000013bcc7e2.jpg'],Credito_agricola,Ruben Carvalho,,263975196,Vende se 1/8 (UM OITAVO) de garagem n.º7 localizada na Rua Padre António Bianchi n.º27 com 30 m2 em estado razoável.

Loja,14555,100000,,Lisboa,Loures,,,95,1970,"['https://jackhammer.janeladigital.com/Z800x600/S5/C3119/P25309409/Tphoto/IDe1308201-0000-0500-0000-000013c37dc9.jpg', 'https://jackhammer.janeladigital.com/Z800x600/S5/C3119/P25309409/Tphoto/IDe1308201-0000-0500-0000-000013c37dca.jpg', 'https://jackhammer.janeladigital.com/Z360x270/S5/C3119/P25309409/Tphoto/IDe1308201-0000-0500-0000-000013c37dc9.jpg', 'https://jackhammer.janeladigital.com/Z360x270/S5/C3119/P25309409/Tphoto/IDe1308201-0000-0500-0000-000013c37dca.jpg']",Credito_agricola,Carla Monteiro,,219839860,"Loja ampla com divisória, uma instalação sanitária, com duas montras para via pública em espaço de passeio."

Terreno,3766,38000,,Aveiro,Ovar,,,9940,,['https://jackhammer.janeladigital.com/Z800x600/S5/C3119/P8711370/Tphoto/IDcaec8400-0000-0500-0000-000013bfa06a.jpg'],Credito_agricola,Fernando Pinho / Jorge Costa,,223773211,"Prédio rústico com pinhal e mato de configuração rectangular.
Situa-se nas imediações da zona industrial de Válega."

Moradia,3761,500000,,Aveiro,Ovar,,T5,250,1938,"['https://jackhammer.janeladigital.com/Z800x600/S5/C3119/P9051829/Tphoto/IDb51e8a00-0000-0500-0000-000013bfa05e.jpg', 'https://jackhammer.janeladigital.com/Z800x600/S5/C3119/P9051829/Tphoto/IDb51e8a00-0000-0500-0000-000013bfa05f.jpg', 'https://jackhammer.janeladigital.com/Z360x270/S5/C3119/P9051829/Tphoto/IDb51e8a00-0000-0500-0000-000013bfa05e.jpg', 'https://jackhammer.janeladigital.com/Z360x270/S5/C3119/P9051829/Tphoto/IDb51e8a00-0000-0500-0000-000013bfa05f.jpg', 'https://jackhammer.janeladigital.com/Z360x270/S5/C3119/P9051829/Tphoto/IDb51e8a00-0000-0500-0000-000013bfa060.jpg', 'https://jackhammer.janeladigital.com/Z360x270/S5/C3119/P9051829/Tphoto/IDb51e8a00-0000-0500-0000-000013bfa061.jpg', 'https://jackhammer.janeladigital.com/Z360x270/S5/C3119/P9051829/Tphoto/IDb51e8a00-0000-0500-0000-000013bfa062.jpg', 'https://jackhammer.janeladigital.com/Z360x270/S5/C3119/P9051829/Tphoto/IDb51e8a00-0000-0500-0000-000013bfa063.jpg', 'https://jackhammer.janeladigital.com/Z360x270/S5/C3119/P9051829/Tphoto/IDb51e8a00-0000-0500-0000-000013bfa066.jpg', 'https://jackhammer.janeladigital.com/Z360x270/S5/C3119/P9051829/Tphoto/IDb51e8a00-0000-0500-0000-000013bfa067.jpg', 'https://jackhammer.janeladigital.com/Z360x270/S5/C3119/P9051829/Tphoto/IDb51e8a00-0000-0500-0000-000013bfa068.jpg']",Credito_agricola,Fernando Pinho / Antonio Real,,223773211,"Moradia antiga T5 restaurada com garagem e terreno.
Situada a cerca de 3 km da praia de Esmoriz."

Terreno Rústico,3759,50000,,Aveiro,Ovar,,,5600,,"['https://jackhammer.janeladigital.com/Z800x600/S5/C3119/P8944010/Tphoto/ID8a798800-0000-0500-0000-000013bfa06b.jpg', 'https://jackhammer.janeladigital.com/Z800x600/S5/C3119/P8944010/Tphoto/ID8a798800-0000-0500-0000-000013bfa06c.jpg', 'https://jackhammer.janeladigital.com/Z360x270/S5/C3119/P8944010/Tphoto/ID8a798800-0000-0500-0000-000013bfa06b.jpg', 'https://jackhammer.janeladigital.com/Z360x270/S5/C3119/P8944010/Tphoto/ID8a798800-0000-0500-0000-000013bfa06c.jpg', 'https://jackhammer.janeladigital.com/Z360x270/S5/C3119/P8944010/Tphoto/ID8a798800-0000-0500-0000-000013bfa06d.jpg']",Credito_agricola,Antonio Real / Fernando Pinho,,223 773 211,"Terreno junto Av Dona Maria II (Circular Sul) em Ovar.
Acessos fáceis Ovar Centro, Praia do Furadouro, EN109, A29."

Terreno Rústico,12974,150000,,Aveiro,Espinho,,,3150,,"['https://jackhammer.janeladigital.com/Z800x600/S5/C3119/P22422386/Tphoto/ID72235601-0000-0500-0000-000013bfa04e.jpg', 'https://jackhammer.janeladigital.com/Z800x600/S5/C3119/P22422386/Tphoto/ID72235601-0000-0500-0000-000013bfa04f.jpg', 'https://jackhammer.janeladigital.com/Z360x270/S5/C3119/P22422386/Tphoto/ID72235601-0000-0500-0000-000013bfa04e.jpg', 'https://jackhammer.janeladigital.com/Z360x270/S5/C3119/P22422386/Tphoto/ID72235601-0000-0500-0000-000013bfa04f.jpg', 'https://jackhammer.janeladigital.com/Z360x270/S5/C3119/P22422386/Tphoto/ID72235601-0000-0500-0000-000013bfa050.jpg', 'https://jackhammer.janeladigital.com/Z360x270/S5/C3119/P22422386/Tphoto/ID72235601-0000-0500-0000-000013bfa051.jpg']",Credito_agricola,António Real / Fernando Pinho,,223773211,"Terreno rústico em lugar residencial periférico a sudeste da cidade de Espinho onde predominam moradias unifamiliares. Os acessos que servem o local são bons, estando próximos quer da N109, quer do nó de ligação às autoestradas (A29, A41, A1)."

Terreno Rústico,700,460000,,Aveiro,Santa Maria da Feira,,,30520,,"['https://jackhammer.janeladigital.com/Z800x600/S5/C3119/P1096838/Tphoto/ID86bc1000-0000-0500-0000-000013bfa074.jpg', 'https://jackhammer.janeladigital.com/Z800x600/S5/C3119/P1096838/Tphoto/ID86bc1000-0000-0500-0000-000013bfa075.jpg', 'https://jackhammer.janeladigital.com/Z360x270/S5/C3119/P1096838/Tphoto/ID86bc1000-0000-0500-0000-000013bfa074.jpg', 'https://jackhammer.janeladigital.com/Z360x270/S5/C3119/P1096838/Tphoto/ID86bc1000-0000-0500-0000-000013bfa075.jpg', 'https://jackhammer.janeladigital.com/Z360x270/S5/C3119/P1096838/Tphoto/ID86bc1000-0000-0500-0000-000013bfa076.jpg']",Credito_agricola,Antonio Real / Fernando Pinho.,,223773211,"Terreno para construção c/ boa exposição solar, local calmo e bons acessos.
Situado em zona residencial sendo a envolvente constituída por moradias."

